src_city,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
te anau,Te Anau,100.0,NZ,1600403572.0,84.0,-45.42,167.72,44.1,6.42
houma,Houma,1.0,US,1600403556.0,94.0,29.6,-90.72,77.0,4.45
clyde river,Clyde River,90.0,CA,1600403574.0,86.0,70.47,-68.59,33.8,2.24
college,College,40.0,US,1600403576.0,76.0,64.86,-147.8,57.0,3.36
port blair,Port Blair,100.0,IN,1600403577.0,87.0,11.67,92.75,79.16,19.15
hithadhoo,Hithadhoo,81.0,MV,1600403578.0,76.0,-0.6,73.08,82.94,8.34
sola,Sola,100.0,VU,1600403580.0,85.0,-13.88,167.55,79.9,18.57
saint-philippe,Saint-Philippe,42.0,RE,1600403581.0,49.0,-21.36,55.77,73.99,5.82
lebu,Lebu,1.0,CL,1600403582.0,82.0,-37.62,-73.65,47.46,12.77
marsa matruh,Marsá Maţrūḩ,0.0,EG,1600403584.0,88.0,31.35,27.25,69.8,9.17
lasa,Laas,5.0,IT,1600403585.0,100.0,46.62,10.7,54.0,4.7
hami,Kumul,0.0,CN,1600403587.0,13.0,42.8,93.45,83.68,3.29
douglas,Douglas,1.0,US,1600403588.0,87.0,41.3,-96.17,59.0,8.79
mataura,Mataura,100.0,NZ,1600403590.0,82.0,-46.19,168.86,48.99,20.0
baykit,Baykit,100.0,RU,1600403591.0,50.0,61.67,96.37,60.22,12.71
mahanje,Mahanje,20.0,TZ,1600403592.0,72.0,-9.93,35.33,67.21,5.46
verkhoyansk,Verkhoyansk,4.0,RU,1600403593.0,43.0,67.54,133.38,54.7,3.31
nalut,Nālūt,0.0,LY,1600403594.0,51.0,30.33,10.85,68.04,9.46
buala,Buala,100.0,SB,1600403596.0,82.0,-8.14,159.59,81.03,13.0
kutahya,Kütahya,0.0,TR,1600403597.0,87.0,39.42,29.98,53.6,3.36
touros,Touros,20.0,BR,1600403598.0,94.0,-5.2,-35.46,69.8,4.7
vaini,Vaini,90.0,TO,1600403600.0,88.0,-21.2,-175.2,71.6,13.87
alpena,Alpena,1.0,US,1600403601.0,70.0,45.06,-83.43,44.6,8.05
vestmannaeyjar,Vestmannaeyjar,100.0,IS,1600403602.0,76.0,63.44,-20.27,49.48,18.45
cidreira,Cidreira,2.0,BR,1600403603.0,94.0,-30.18,-50.21,59.92,6.22
biak,Biak,66.0,ID,1600403604.0,62.0,-0.91,122.88,83.57,2.42
alofi,Alofi,88.0,NU,1600403606.0,88.0,-19.06,-169.92,75.2,11.41
sendafa,Sendafa,20.0,ET,1600403607.0,87.0,9.15,39.03,55.4,4.7
ponta do sol,Ponta do Sol,40.0,PT,1600403608.0,60.0,32.67,-17.1,69.8,5.82
bredasdorp,Bredasdorp,19.0,ZA,1600403610.0,93.0,-34.53,20.04,42.8,2.24
kodiak,Saint Paul Harbor,75.0,US,1600403611.0,62.0,57.79,-152.41,55.4,10.29
bethel,Bethel,40.0,US,1600403612.0,93.0,41.37,-73.41,62.01,5.79
avera,Avera,90.0,US,1600403613.0,94.0,33.19,-82.53,69.8,3.36
marrakesh,Marrakesh,40.0,MA,1600403615.0,64.0,31.63,-8.01,71.6,3.36
butaritari,Butaritari,96.0,KI,1600403616.0,71.0,3.07,172.79,82.6,12.48
taoudenni,Taoudenni,17.0,ML,1600403617.0,20.0,22.68,-3.98,85.6,5.12
sehithwa,Sehithwa,0.0,BW,1600403619.0,44.0,-20.47,22.72,69.17,5.75
belmonte,Belmonte,20.0,BR,1600403620.0,83.0,-15.86,-38.88,69.8,3.36
qaanaaq,Qaanaaq,83.0,GL,1600403621.0,88.0,77.48,-69.36,19.8,7.81
tuktoyaktuk,Tuktoyaktuk,75.0,CA,1600403622.0,100.0,69.45,-133.04,39.2,6.93
faanui,Faanui,13.0,PF,1600403624.0,77.0,-16.48,-151.75,78.28,16.2
naze,Naze,75.0,JP,1600403625.0,84.0,28.37,129.48,87.8,10.29
kununurra,Kununurra,51.0,AU,1600403627.0,28.0,-15.77,128.73,96.8,6.93
henties bay,Henties Bay,0.0,NA,1600403628.0,94.0,-22.12,14.28,53.01,3.0
hilo,Hilo,40.0,US,1600403612.0,69.0,19.73,-155.09,80.6,5.82
cherskiy,Cherskiy,98.0,RU,1600403631.0,76.0,68.75,161.3,37.85,4.61
obera,Oberá,11.0,AR,1600403632.0,100.0,-27.49,-55.12,58.39,1.52
upernavik,Upernavik,3.0,GL,1600403633.0,87.0,72.79,-56.15,28.27,8.43
port elizabeth,Port Elizabeth,0.0,ZA,1600403411.0,93.0,-33.92,25.57,42.8,4.7
nanortalik,Nanortalik,89.0,GL,1600403346.0,91.0,60.14,-45.24,43.43,9.28
vaitape,Vaitape,12.0,PF,1600403637.0,75.0,-16.52,-151.75,79.14,16.13
bengkulu,Bengkulu,48.0,ID,1600403638.0,66.0,-3.8,102.27,84.43,8.81
dikson,Dikson,81.0,RU,1600403639.0,90.0,73.51,80.55,44.35,13.38
port hawkesbury,Port Hawkesbury,75.0,CA,1600403631.0,93.0,45.62,-61.35,57.0,4.7
fare,Fare,14.0,PF,1600403642.0,76.0,-16.7,-151.02,79.12,13.89
kohtla-jarve,Kohtla-Järve,100.0,EE,1600403643.0,76.0,59.4,27.27,47.82,22.64
zhigansk,Zhigansk,0.0,RU,1600403644.0,44.0,66.77,123.37,53.8,3.49
leshukonskoye,Leshukonskoye,12.0,RU,1600403645.0,79.0,64.9,45.76,38.48,5.79
burnie,Burnie,5.0,AU,1600403646.0,57.0,-41.07,145.92,54.0,8.01
talcahuano,Talcahuano,0.0,CL,1600403648.0,93.0,-36.72,-73.12,48.2,8.05
geraldton,Geraldton,0.0,AU,1600403477.0,22.0,-28.77,114.6,77.0,10.29
slave lake,Slave Lake,90.0,CA,1600403650.0,71.0,55.28,-114.77,53.6,4.7
barrow,Barrow,90.0,US,1600403651.0,87.0,71.29,-156.79,42.8,14.99
tiksi,Tiksi,67.0,RU,1600403652.0,61.0,71.69,128.87,52.86,21.09
sulphur springs,Sulphur Springs,1.0,US,1600403654.0,78.0,33.14,-95.6,73.4,3.36
yerbogachen,Yerbogachën,0.0,RU,1600403655.0,49.0,61.28,108.01,60.8,5.7
longyearbyen,Longyearbyen,75.0,SJ,1600403656.0,86.0,78.22,15.64,37.4,1.39
muros,Muros,75.0,ES,1600403657.0,94.0,42.78,-9.06,62.01,3.0
sur,Sur,3.0,OM,1600403658.0,39.0,22.57,59.53,89.58,2.13
pisco,Pisco,25.0,PE,1600403660.0,93.0,-13.7,-76.22,55.4,3.36
raudeberg,Raudeberg,100.0,NO,1600403661.0,88.0,61.99,5.14,55.99,26.62
tymovskoye,Tymovskoye,48.0,RU,1600403590.0,68.0,50.85,142.66,69.37,2.06
fort nelson,Fort Nelson,40.0,CA,1600403664.0,100.0,58.81,-122.7,46.4,3.36
akcakoca,Akçakoca,36.0,TR,1600403665.0,82.0,41.09,31.12,71.02,2.55
lima,Lima,90.0,PE,1600403559.0,82.0,-12.04,-77.03,60.8,6.93
marzuq,Marzuq,5.0,YE,1600403668.0,27.0,14.4,46.47,83.37,3.47
strangnas,Strängnäs,66.0,SE,1600403556.0,75.0,59.38,17.03,46.4,6.93
mlonggo,Mlonggo,24.0,ID,1600403670.0,41.0,-6.53,110.7,93.2,12.75
isangel,Isangel,75.0,VU,1600403672.0,69.0,-19.55,169.27,82.4,11.41
thompson,Thompson,5.0,CA,1600403433.0,86.0,55.74,-97.86,28.4,3.94
stornoway,Stornoway,91.0,GB,1600403674.0,93.0,58.21,-6.39,57.2,9.17
mayo,Mayo,90.0,US,1600403675.0,90.0,38.89,-76.51,69.01,4.7
bubaque,Bubaque,100.0,GW,1600403677.0,86.0,11.28,-15.83,79.92,17.78
rosetta,Rosetta,0.0,EG,1600403679.0,78.0,31.4,30.42,75.2,3.36
olga,Ol'ga,36.0,RU,1600403680.0,73.0,43.74,135.29,67.75,6.91
nouadhibou,Nouadhibou,29.0,MR,1600403681.0,72.0,20.93,-17.03,77.18,18.23
asyut,Assiut,0.0,EG,1600403682.0,65.0,27.18,31.18,78.8,9.17
cocobeach,Cocobeach,75.0,GA,1600403684.0,88.0,1.0,9.58,77.0,5.82
palmer,Palmer,1.0,US,1600403685.0,77.0,42.16,-72.33,61.0,3.36
dauphin,Dauphin,1.0,CA,1600403686.0,86.0,51.15,-100.05,33.8,3.51
vao,Vao,31.0,NC,1600403687.0,85.0,-22.67,167.48,71.2,25.39
chuy,Chui,0.0,UY,1600403688.0,85.0,-33.7,-53.46,54.14,8.86
sinnamary,Sinnamary,2.0,GF,1600403690.0,88.0,5.38,-52.95,77.76,11.7
mareeba,Mareeba,90.0,AU,1600403691.0,73.0,-17.0,145.43,77.0,14.99
ribeira grande,Ribeira Grande,54.0,PT,1600403692.0,77.0,38.52,-28.7,70.12,17.63
yar-sale,Yar-Sale,99.0,RU,1600403693.0,87.0,66.83,70.83,47.71,7.96
terenos,Terenos,17.0,BR,1600403695.0,56.0,-20.44,-54.86,71.6,9.17
karasjok,Karasjok,75.0,NO,1600403696.0,65.0,69.47,25.51,44.6,33.33
osmena,Osmeña,100.0,PH,1600403697.0,73.0,10.52,119.93,84.29,12.44
trairi,Trairi,34.0,BR,1600403686.0,79.0,-3.28,-39.27,77.05,11.77
misratah,Misratah,0.0,LY,1600403700.0,72.0,32.38,15.09,75.43,9.35
asau,Asău,98.0,RO,1600403701.0,54.0,46.43,26.4,59.0,14.99
kangaba,Kangaba,96.0,ML,1600403702.0,91.0,11.93,-8.42,72.07,2.42
narsaq,Narsaq,100.0,GL,1600403704.0,87.0,60.92,-46.05,42.8,3.36
tumut,Tumut,100.0,AU,1600403705.0,76.0,-35.3,148.22,67.14,1.9
suntar,Suntar,0.0,RU,1600403706.0,48.0,62.14,117.63,59.04,3.15
nuevo progreso,Nuevo Progreso,5.0,MX,1600403707.0,66.0,23.17,-97.95,73.99,4.0
kemalpasa,Kemalpaşa,0.0,TR,1600403709.0,88.0,38.43,27.42,66.2,0.85
torbay,Torbay,90.0,CA,1600403710.0,88.0,47.67,-52.73,63.0,14.99
pevek,Pevek,89.0,RU,1600403711.0,92.0,69.7,170.31,33.08,11.12
tilichiki,Tilichiki,81.0,RU,1600403712.0,69.0,60.47,166.1,47.8,9.75
lazaro cardenas,Lázaro Cárdenas,83.0,MX,1600403702.0,84.0,17.96,-102.2,79.05,1.99
kastamonu,Kastamonu Province,0.0,TR,1600403715.0,55.0,41.5,33.67,63.91,1.77
batsfjord,Båtsfjord,75.0,NO,1600403716.0,70.0,70.63,29.72,44.6,16.11
beringovskiy,Beringovskiy,100.0,RU,1600403717.0,88.0,63.05,179.32,43.23,9.86
lorengau,Lorengau,97.0,PG,1600403718.0,75.0,-2.02,147.27,84.25,5.82
lalin,Lalín,90.0,ES,1600403720.0,100.0,42.72,-8.12,62.01,6.93
acapulco,Acapulco de Juárez,100.0,MX,1600403571.0,83.0,16.86,-99.89,78.82,3.89
